date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,Cumulative Confirmed Cases,New Confirmed Cases,Cumulative Probable Cases,New Probable Cases,Cumulative Fatalities,Fatalities by Date of Death,population
4/28/2021,Texas,18395582,24993025,10915947,25.91,63.44,7512024,37.65,86.2,177019,189987,6552,0.736,2464876,2871,411264,591,49919,42,29730311
4/29/2021,Texas,18622188,25102855,10999257,26.4,64.22,7654594,37.93,86.57,226606,187797,6477,0.742,2467456,2404,412256,888,49960,41,29730311
4/30/2021,Texas,18885671,25401725,11092489,26.99,65.13,7826009,38.26,87.6,263483,191712,6612,0.743,2470095,2500,413132,824,49992,32,29730311
5/1/2021,Texas,19090255,25514685,11164737,27.46,65.84,7960964,38.5,87.99,204584,186869,6445,0.748,2472718,2515,413995,786,50027,35,29730311
5/2/2021,Texas,19205116,25514685,11199365,27.72,66.23,8037727,38.62,87.99,114861,175147,6040,0.753,2473679,919,414341,345,50058,31,29730311
5/3/2021,Texas,19276649,25514685,11226347,27.87,66.48,8081630,38.72,87.99,71533,168987,5828,0.756,2474902,1203,414659,318,50095,37,29730311
5/4/2021,Texas,19350193,26000725,11253017,28.04,66.73,8130177,38.81,89.67,73544,161661,5575,0.744,2478241,3217,415473,867,50142,47,29730311
5/5/2021,Texas,19519836,26975255,11306814,28.44,67.32,8247643,38.99,93.03,169643,160608,5539,0.724,2480166,1798,416052,490,50181,39,29730311
5/6/2021,Texas,19690275,27082705,11359643,28.85,67.91,8365487,39.18,93.4,170439,152584,5262,0.727,2481873,1408,416705,587,50220,39,29730311
5/7/2021,Texas,19884729,27265505,11413686,29.34,68.58,8507634,39.36,94.03,194454,142723,4922,0.729,2484044,1962,417460,713,50247,27,29730311
5/8/2021,Texas,20060525,27376775,11467096,29.76,69.18,8629882,39.55,94.42,175796,138610,4780,0.733,2485695,1445,417999,504,50278,31,29730311
5/9/2021,Texas,20215285,27376675,11508786,30.15,69.72,8742609,39.69,94.42,154760,144310,4977,0.738,2486826,1079,418284,279,50308,30,29730311
5/10/2021,Texas,20304544,27376675,11537922,30.37,70.03,8806632,39.79,94.42,89259,146842,5064,0.742,2487480,651,418383,96,50342,34,29730311
5/11/2021,Texas,20403618,27689175,11574600,30.61,70.37,8875272,39.92,95.49,99074,150489,5190,0.737,2490481,2859,419348,842,50381,39,29730311
5/12/2021,Texas,20533264,28126035,11620495,30.91,70.81,8962867,40.08,97,129646,144775,4993,0.73,2492365,1656,419830,463,50407,26,29730311
5/13/2021,Texas,20671478,28232055,11663719,31.24,71.29,9058956,40.23,97.37,138214,140172,4834,0.732,2494065,1545,420578,730,50439,32,29730311
5/14/2021,Texas,20816039,28474075,11714260,31.58,71.79,9156193,40.4,98.2,144561,133044,4588,0.731,2496002,1766,421254,631,50476,37,29730311
5/15/2021,Texas,20981555,28654065,11790547,31.95,72.36,9264949,40.66,98.82,165516,131576,4538,0.732,2497468,1254,421771,424,50515,39,29730311
5/16/2021,Texas,21179788,28654065,11881680,32.34,73.04,9377315,40.98,98.82,198233,137786,4752,0.739,2497892,388,421997,207,50541,26,29730311
5/17/2021,Texas,21334970,28654065,11966680,32.61,73.58,9455859,41.27,98.82,155182,147204,5077,0.745,2498217,318,422172,175,50578,37,29730311
5/18/2021,Texas,21430921,28735365,12017212,32.78,73.91,9505017,41.44,99.1,95951,146758,5061,0.746,2501376,2835,423090,783,50617,39,29730311
5/19/2021,Texas,21585931,29014615,12094067,33.06,74.44,9586146,41.71,100.06,155010,150381,5186,0.744,2503036,1464,423445,305,50643,26,29730311
5/20/2021,Texas,21719251,29159175,12162473,33.3,74.9,9654297,41.95,100.56,133320,149682,5162,0.745,2504484,1237,423900,427,50672,29,29730311
5/21/2021,Texas,21926464,29372305,12273765,33.64,75.62,9755603,42.33,101.3,207213,158632,5471,0.747,2505622,1011,424339,390,50703,31,29730311
5/22/2021,Texas,22041180,29660595,12332445,33.84,76.01,9812817,42.53,102.29,114716,151375,5221,0.743,2507412,857,423902,262,50726,23,29730311
5/23/2021,Texas,22175490,29660595,12401893,34.07,76.48,9878166,42.77,102.29,134310,142243,4906,0.748,2508007,519,424075,173,50764,38,29730311
5/24/2021,Texas,22260158,29660595,12450803,34.2,76.77,9917199,42.94,102.29,84668,132170,4558,0.75,2508550,574,424219,141,50798,34,29730311
5/25/2021,Texas,22360193,29755785,12508198,34.37,77.12,9966234,43.14,102.62,100035,132753,4578,0.751,2511712,1928,425021,534,50831,33,29730311
5/26/2021,Texas,22486269,29891635,12570927,34.6,77.55,10033635,43.35,103.09,126076,128620,4436,0.752,2513424,1595,425490,424,50863,32,29730311
5/27/2021,Texas,22593372,29971935,12625469,34.79,77.92,10088586,43.54,103.37,107103,124874,4307,0.754,2514409,778,425794,284,50895,32,29730311
5/28/2021,Texas,22725688,30191985,12698614,35.03,78.38,10156858,43.79,104.13,132316,114175,3938,0.753,2515922,1411,426313,484,50925,30,29730311
5/29/2021,Texas,22847875,30384105,12756426,35.26,78.8,10223071,43.99,104.79,122187,115242,3974,0.752,2516781,762,426535,211,50942,17,29730311
5/30/2021,Texas,22942135,30386725,12804890,35.43,79.12,10272326,44.16,104.8,94260,109521,3777,0.755,2517141,286,426559,22,50968,26,29730311
5/31/2021,Texas,,,,,,,,,50144.5,104589,3607,,2517276,123,426568,9,50987,19,29730311
6/1/2021,Texas,23042424,30386725,12857415,35.61,79.47,10325589,44.34,104.8,50144.5,97462,3361,0.758,2517398,94,426605,34,51016,29,29730311
6/2/2021,Texas,23095348,30408955,12883519,35.71,79.65,10355208,44.43,104.87,52924,87011,3001,0.759,2518828,1341,427170,497,51038,22,29730311
6/3/2021,Texas,23178516,30578915,12928638,35.85,79.94,10395423,44.59,105.46,83168,83592,2883,0.758,2520151,1078,427709,455,51057,19,29730311
6/4/2021,Texas,23293586,30626095,12984438,36.07,80.33,10457956,44.78,105.62,115070,81128,2798,0.761,2522016,1514,428606,415,51084,27,29730311
6/5/2021,Texas,23383001,30856235,13026862,36.24,80.64,10506744,44.93,106.42,89415,76447,2636,0.758,2523617,1257,428984,360,51104,20,29730311
6/6/2021,Texas,23501684,30856235,13073414,36.5,81.05,10583077,45.09,106.42,118683,79936,2757,0.762,2524212,584,429026,40,51128,24,29730311
